英雄,分类结果,定位
橘石京,0,刺客
曹操,0,战士
宫本武藏,0,战士
老夫子,0,战士
程咬金,0,坦克
芈月,0,法师
阿轲,0,刺客
吕布,0,战士
花木兰,0,战士
张飞,0,坦克
亚瑟,0,战士
关羽,0,战士
后羿,1,射手
李元芳,1,射手
鲁班七号,1,射手
孙尚香,1,射手
马可波罗,1,射手
百里守约,1,射手
成吉思汗,1,射手
韩信,1,刺客
刘备,1,战士
黄忠,1,射手
虞姬,1,射手
狄仁杰,1,射手
赵云,2,战士
鬼谷子,2,辅助
杨戬,2,战士
达摩,2,战士
孙悟空,2,战士
典韦,2,战士
哪吒,2,战士
娜可露露,2,刺客
兰陵王,2,刺客
钟馗,2,法师
孙膑,2,辅助
夏侯惇,2,坦克
太乙真人,2,辅助
钟无艳,2,战士
墨子,2,法师
铠,2,战士
雅典娜,2,战士
东皇太一,2,坦克
露娜,2,战士
嬴政,3,法师
王昭君,3,法师
甄姬,3,法师
蔡文姬,3,辅助
诸葛亮,3,法师
干将莫邪,3,法师
高渐离,3,法师
周瑜,3,法师
小乔,3,法师
白起,4,坦克
庄周,4,辅助
廉颇,4,坦克
项羽,4,坦克
牛魔,4,坦克
刘禅,4,坦克
刘邦,4,坦克
武则天,5,法师
妲己,5,法师
大乔,5,辅助
扁鹊,5,法师
张良,5,法师
安琪拉,5,法师
貂蝉,5,法师
不知火舞,5,法师
李白,5,刺客
姜子牙,5,法师
